TVD	North	East	Dia	Color
0	0	0	1.5	1
29.992	0	0	1.5	1
43.495	0	0	1.5	1
60.015	0	0	1.5	1
90.007	0	0	1.5	1
120	0	0	1.5	1
149.992	0	0	1.5	1
180.015	0	0	1.5	1
210.007	0	0	1.5	1
216.499	0	0	1.5	1
220.005	0	0	1.5	1
230.002	0.03	-0.061	1.5	1
240	0.061	-0.183	1.5	1
249.997	0.061	-0.335	1.5	1
259.994	0.091	-0.457	1.5	1
269.992	0.061	-0.549	1.5	1
279.989	0.061	-0.64	1.5	1
289.987	0.03	-0.732	1.5	1
299.984	0.03	-0.792	1.5	1
310.012	0.061	-0.884	1.5	1
320.01	0.183	-1.006	1.5	1
330.007	0.366	-1.097	1.5	1
340.004	0.549	-1.25	1.5	1
350.002	0.762	-1.341	1.5	1
352.471	0.792	-1.372	1.5	1
359.999	0.884	-1.433	1.5	1
369.997	0.914	-1.494	1.5	1
379.994	0.914	-1.554	1.5	1
389.992	0.914	-1.585	1.5	1
400.02	0.914	-1.615	1.5	1
410.017	0.914	-1.646	1.5	1
420.014	0.914	-1.676	1.5	1
430.012	0.914	-1.676	1.5	1
440.009	0.914	-1.707	1.5	1
450.007	0.914	-1.707	1.5	1
460.004	0.884	-1.707	1.5	1
470.002	0.884	-1.676	1.5	1
479.999	0.853	-1.646	1.5	1
489.996	0.853	-1.646	1.5	1
499.994	0.853	-1.615	1.5	1
509.991	0.853	-1.615	1.5	1
520.019	0.853	-1.585	1.5	1
530.017	0.853	-1.585	1.5	1
536.478	0.884	-1.554	1.5	1
540.014	0.884	-1.554	1.5	1
550.012	0.884	-1.494	1.5	1
560.009	0.914	-1.433	1.5	1
570.006	0.914	-1.402	1.5	1
580.004	0.945	-1.341	1.5	1
590.001	0.945	-1.311	1.5	1
599.999	0.914	-1.28	1.5	1
609.996	0.884	-1.25	1.5	1
619.994	0.792	-1.189	1.5	1
629.991	0.64	-1.128	1.5	1
639.989	0.457	-1.067	1.5	1
649.986	0.274	-1.006	1.5	1
659.983	0.091	-0.975	1.5	1
670.011	-0.091	-1.006	1.5	1
680.009	-0.244	-1.128	1.5	1
690.006	-0.427	-1.341	1.5	1
700.004	-0.579	-1.615	1.5	1
710.001	-0.762	-1.951	1.5	1
719.999	-0.914	-2.377	1.5	1
729.996	-1.097	-2.896	1.5	1
739.993	-1.25	-3.536	1.5	1
749.991	-1.433	-4.267	1.5	1
760.019	-1.554	-5.121	1.5	1
769.986	-1.646	-6.066	1.5	1
780.014	-1.737	-7.132	1.5	1
790.011	-1.859	-8.291	1.5	1
800.009	-1.951	-9.571	1.5	1
809.488	-2.042	-10.942	1.5	1
810.006	-2.042	-11.003	1.5	1
812.444	-2.103	-11.369	1.5	1
818.479	-2.256	-12.375	1.5	1
824.972	-2.469	-13.503	1.5	1
831.159	-2.743	-14.691	1.5	1
838.992	-3.139	-16.276	1.5	1
853.592	-3.962	-19.599	1.5	1
868.101	-4.938	-23.226	1.5	1
873.435	-5.364	-24.658	1.5	1
896.935	-7.346	-31.242	1.5	1
924.001	-9.997	-39.502	1.5	1
925.495	-10.15	-39.959	1.5	1
931.896	-10.82	-42.032	1.5	1
947.014	-12.68	-47.092	1.5	1
953.719	-13.655	-49.439	1.5	1
981.486	-18.532	-59.71	1.5	1
986.546	-19.599	-61.692	1.5	1
1008.644	-24.75	-70.866	1.5	1
1010.717	-25.298	-71.78	1.5	1
1035.009	-32.309	-82.997	1.5	1
1037.874	-33.254	-84.399	1.5	1
1060.43	-41.483	-95.982	1.5	1
1062.35	-42.276	-97.018	1.5	1
1084.692	-52.761	-109.545	1.5	1
1085.545	-53.218	-110.063	1.5	1
1108.009	-66.385	-122.987	1.5	1
1130.473	-81.26	-136.428	1.5	1
1151.321	-96.439	-150.266	1.5	1
1151.626	-96.683	-150.48	1.5	1
1171.103	-111.557	-164.988	1.5	1
1172.108	-112.319	-165.781	1.5	1
1192.012	-128.107	-181.752	1.5	1
1193.719	-129.51	-183.154	1.5	1
1202.314	-136.672	-190.165	1.5	1
