TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	2.5	1.0	0
30.0	0.0	0.0	2.5	1.0	0
43.5	0.0	0.0	2.5	1.0	0
60.0	0.0	0.0	2.5	1.0	0
90.0	0.0	0.0	2.5	1.0	0
120.0	0.0	0.0	2.5	1.0	0
150.0	0.0	0.0	2.5	1.0	0
180.0	0.0	0.0	2.5	1.0	0
210.0	0.0	0.0	2.5	1.0	0
216.5	0.0	0.0	2.5	1.0	0
220.0	0.0	0.0	2.5	1.0	0
230.0	0.0	-0.1	2.5	1.0	0
240.0	0.1	-0.2	2.5	1.0	0
250.0	0.1	-0.3	2.5	1.0	0
260.0	0.1	-0.5	2.5	1.0	0
270.0	0.1	-0.5	2.5	1.0	0
280.0	0.1	-0.6	2.5	1.0	0
290.0	0.0	-0.7	2.5	1.0	0
300.0	0.0	-0.8	2.5	1.0	0
310.0	0.1	-0.9	2.5	1.0	0
320.0	0.2	-1.0	2.5	1.0	0
330.0	0.4	-1.1	2.5	1.0	0
340.0	0.5	-1.3	2.5	1.0	0
350.0	0.8	-1.3	2.5	1.0	0
352.5	0.8	-1.4	2.5	1.0	0
360.0	0.9	-1.4	2.5	1.0	0
370.0	0.9	-1.5	2.5	1.0	0
380.0	0.9	-1.6	2.5	1.0	0
390.0	0.9	-1.6	2.5	1.0	0
400.0	0.9	-1.6	2.5	1.0	0
410.0	0.9	-1.6	2.5	1.0	0
420.0	0.9	-1.7	2.5	1.0	0
430.0	0.9	-1.7	2.5	1.0	0
440.0	0.9	-1.7	2.5	1.0	0
450.0	0.9	-1.7	2.5	1.0	0
460.0	0.9	-1.7	2.5	1.0	0
470.0	0.9	-1.7	2.5	1.0	0
480.0	0.9	-1.6	2.5	1.0	0
490.0	0.9	-1.6	2.5	1.0	0
500.0	0.9	-1.6	2.5	1.0	0
510.0	0.9	-1.6	2.5	1.0	0
520.0	0.9	-1.6	2.5	1.0	0
530.0	0.9	-1.6	2.5	1.0	0
536.5	0.9	-1.6	2.5	1.0	0
540.0	0.9	-1.6	2.5	1.0	0
550.0	0.9	-1.5	2.5	1.0	0
560.0	0.9	-1.4	2.5	1.0	0
570.0	0.9	-1.4	2.5	1.0	0
580.0	0.9	-1.3	2.5	1.0	0
590.0	0.9	-1.3	2.5	1.0	0
600.0	0.9	-1.3	2.5	1.0	0
610.0	0.9	-1.3	2.5	1.0	0
620.0	0.8	-1.2	2.5	1.0	0
630.0	0.6	-1.1	2.5	1.0	0
