MD	TVD	North	East	Dia	Color	Style
0	0	0	0	1.5	1	0
118.9	118.9	-0.1	-0.2	1.5	1	0
121.9	121.9	-0.1	-0.2	1.5	1	0
125.0	125.0	-0.1	-0.2	1.5	1	0
128.0	128.0	-0.1	-0.2	1.5	1	0
131.1	131.1	-0.1	-0.3	1.5	1	0
134.1	134.1	-0.1	-0.3	1.5	1	0
137.2	137.2	-0.1	-0.3	1.5	1	0
140.2	140.2	0.0	-0.3	1.5	1	0
143.3	143.3	0.0	-0.4	1.5	1	0
146.3	146.3	0.0	-0.4	1.5	1	0
149.4	149.4	0.0	-0.4	1.5	1	0
152.4	152.4	0.0	-0.5	1.5	1	0
155.4	155.4	0.1	-0.5	1.5	1	0
158.5	158.5	0.1	-0.5	1.5	1	0
161.5	161.5	0.1	-0.6	1.5	1	0
164.6	164.6	0.2	-0.6	1.5	1	0
167.6	167.6	0.2	-0.6	1.5	1	0
170.7	170.7	0.2	-0.7	1.5	1	0
173.7	173.7	0.3	-0.7	1.5	1	0
176.8	176.8	0.3	-0.8	1.5	1	0
179.8	179.8	0.3	-0.8	1.5	1	0
182.9	182.9	0.4	-0.9	1.5	1	0
185.9	185.9	0.4	-0.9	1.5	1	0
189.0	189.0	0.4	-1.0	1.5	1	0
192.0	192.0	0.4	-1.1	1.5	1	0
195.1	195.1	0.3	-1.1	1.5	1	0
198.1	198.1	0.2	-1.2	1.5	1	0
201.2	201.2	0.2	-1.1	1.5	1	0
204.2	204.2	0.1	-1.1	1.5	1	0
207.3	207.2	0.0	-1.0	1.5	1	0
210.3	210.3	0.0	-0.9	1.5	1	0
213.4	213.3	0.0	-0.7	1.5	1	0
216.4	216.4	0.1	-0.6	1.5	1	0
219.5	219.4	0.2	-0.5	1.5	1	0
222.5	222.5	0.2	-0.3	1.5	1	0
225.6	225.5	0.3	-0.1	1.5	1	0
228.6	228.5	0.4	0.1	1.5	1	0
231.6	231.6	0.5	0.3	1.5	1	0
234.7	234.6	0.5	0.6	1.5	1	0
237.7	237.7	0.6	0.8	1.5	1	0
240.8	240.7	0.7	1.1	1.5	1	0
243.8	243.7	0.8	1.4	1.5	1	0
246.9	246.8	0.8	1.7	1.5	1	0
249.9	249.8	0.9	2.0	1.5	1	0
253.0	252.8	0.9	2.3	1.5	1	0
256.0	255.8	1.0	2.6	1.5	1	0
259.1	258.9	1.1	3.0	1.5	1	0
262.1	261.9	1.2	3.3	1.5	1	0
265.2	264.9	1.2	3.6	1.5	1	0
268.2	268.0	1.3	3.9	1.5	1	0
271.3	271.0	1.3	4.3	1.5	1	0
274.3	274.0	1.4	4.6	1.5	1	0
277.4	277.1	1.5	4.9	1.5	1	0
280.4	280.1	1.5	5.3	1.5	1	0
